ds,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),t,rh,ah,yhat,yhat_lower,yhat_upper
3/10/2004 18:00,2.6,1360,150,11.9,1046,166,1056,113,1692,1268,13.6,48.9,0.758,44.64,29.45,59.53
3/10/2004 19:00,2,1292,112,9.4,955,103,1174,92,1559,972,13.3,47.7,0.726,48.07,31.26,63.87
3/10/2004 20:00,2.2,1402,88,9,939,131,1140,114,1555,1074,11.9,54,0.750,51.25,35.98,67.77
3/10/2004 21:00,2.2,1376,80,9.2,948,172,1092,122,1584,1203,11,60,0.787,53.60,37.51,68.65
3/10/2004 22:00,1.6,1272,51,6.5,836,131,1205,116,1490,1110,11.2,59.6,0.789,55.25,39.35,70.63
3/10/2004 23:00,1.2,1197,38,4.7,750,89,1337,96,1393,949,11.2,59.2,0.785,56.69,41.85,72.20
3/11/2004 0:00,1.2,1185,31,3.6,690,62,1462,77,1333,733,11.3,56.8,0.760,58.22,43.05,73.69
3/11/2004 1:00,1,1136,31,3.3,672,62,1453,76,1333,730,10.7,60,0.770,59.72,45.26,75.24
3/11/2004 2:00,0.9,1094,24,2.3,609,45,1579,60,1276,620,10.7,59.7,0.765,60.92,46.63,76.71
3/11/2004 3:00,0.6,1010,19,1.7,561,-200,1705,-200,1235,501,10.3,60.2,0.752,61.84,45.99,77.84
3/11/2004 4:00,-200,1011,14,1.3,527,21,1818,34,1197,445,10.1,60.5,0.747,62.76,47.26,78.60
3/11/2004 5:00,0.7,1066,8,1.1,512,16,1918,28,1182,422,11,56.2,0.737,63.77,48.03,78.53
3/11/2004 6:00,0.7,1052,16,1.6,553,34,1738,48,1221,472,10.5,58.1,0.735,64.36,48.05,80.27
3/11/2004 7:00,1.1,1144,29,3.2,667,98,1490,82,1339,730,10.2,59.6,0.742,63.49,47.54,79.35
3/11/2004 8:00,2,1333,64,8,900,174,1136,112,1517,1102,10.8,57.4,0.741,60.43,45.80,77.69
3/11/2004 9:00,2.2,1351,87,9.5,960,129,1079,101,1583,1028,10.5,60.6,0.769,55.43,39.96,70.75
3/11/2004 10:00,1.7,1233,77,6.3,827,112,1218,98,1446,860,10.8,58.4,0.755,49.81,34.17,65.92
3/11/2004 11:00,1.5,1179,43,5,762,95,1328,92,1362,671,10.5,57.9,0.735,45.11,29.27,59.95
